title,author,language,subjects,bookshelves,book_id,book_url
Treasure Island,"['Stevenson, Robert Louis, 1850-1894']",English,"['Sea stories', 'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction']",[],120,https://www.gutenberg.org/ebooks/120
"The Adventures of Tom Sawyer, Complete","['Twain, Mark, 1835-1910']",English,"['Humorous stories', 'Bildungsromans', 'Boys -- Fiction', 'Male friendship -- Fiction', 'Adventure stories', 'Missouri -- Fiction', 'Sawyer, Tom (Fictitious character) -- Fiction', 'Child witnesses -- Fiction', 'Runaway children -- Fiction', 'Mississippi River Valley -- Fiction']",[],74,https://www.gutenberg.org/ebooks/74
The Confessions of St. Augustine,"['Augustine, of Hippo, Saint, 354-430']",English,"['Augustine, of Hippo, Saint, 354-430', 'Christian saints -- Algeria -- Hippo (Extinct city) -- Biography', 'Catholic Church -- Bishops -- Biography', 'Bishops -- Algeria -- Hippo (Extinct city) -- Biography']",[],3296,https://www.gutenberg.org/ebooks/3296
The Republic,"['Plato, 428? BCE-348? BCE']",English,"['Classical literature', 'Political science -- Early works to 1800', 'Utopias -- Early works to 1800', 'Justice -- Early works to 1800']",[],1497,https://www.gutenberg.org/ebooks/1497
Heath's Modern Language Series: The Spanish American Reader,"['Nelson, Ernesto']",Spanish,['Spanish language -- Readers'],[],39647,https://www.gutenberg.org/ebooks/39647
Meditations,"['Marcus Aurelius, Emperor of Rome, 121-180']",English,"['Stoics', 'Ethics', 'Life']",[],2680,https://www.gutenberg.org/ebooks/2680
"Doctrina ChristianaThe first book printed in the Philippines, Manila, 1593.",[],Tagalog,"['Tagalog language -- Texts', 'Catholic Church -- Catechisms -- Tagalog', 'Catholic Church -- Catechisms -- Spanish', 'Block books -- Facsimiles']",[],16119,https://www.gutenberg.org/ebooks/16119
Beyond Good and Evil,"['Nietzsche, Friedrich Wilhelm, 1844-1900']",English,"['Ethics', 'Philosophy, German']",[],4363,https://www.gutenberg.org/ebooks/4363
Sense and Sensibility,"['Austen, Jane, 1775-1817']",English,"['England -- Social life and customs -- 19th century -- Fiction', 'Inheritance and succession -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Mate selection -- Fiction', 'Social classes -- Fiction', 'Gentry -- England -- Fiction', 'Regency fiction']",[],161,https://www.gutenberg.org/ebooks/161
The OdysseyRendered into English prose for the use of those who cannot read the original,"['Homer, 751? BCE-651? BCE']",English,"['Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character)']",[],1727,https://www.gutenberg.org/ebooks/1727
"韓詩外傳, Complete","['Han, Ying, active 150 B.C.']",Chinese,['Shi jing'],[],7290,https://www.gutenberg.org/ebooks/7290
The Enchiridion,"['Epictetus, 55-135']",English,"['Conduct of life -- Early works to 1800', 'Ethics, Ancient']",[],45109,https://www.gutenberg.org/ebooks/45109
Don Quijote,"['Cervantes Saavedra, Miguel de, 1547-1616']",Spanish,"['Spain -- Social life and customs -- 16th century -- Fiction', 'Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances']",[],2000,https://www.gutenberg.org/ebooks/2000
The Works of Edgar Allan Poe — Volume 2,"['Poe, Edgar Allan, 1809-1849']",English,"['Short stories', 'Fantasy fiction', 'Horror tales, American', 'American fiction -- 19th century']",[],2148,https://www.gutenberg.org/ebooks/2148
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The AfricanWritten By Himself","['Equiano, Olaudah, 1745-1797']",English,"['Enslaved persons -- United States -- Biography', 'Equiano, Olaudah, 1745-1797', 'Enslaved persons -- Great Britain -- Biography']",[],15399,https://www.gutenberg.org/ebooks/15399
The divine comedy,"['Dante Alighieri, 1265-1321']",English,"['Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English']",[],8800,https://www.gutenberg.org/ebooks/8800
How the Other Half Lives: Studies Among the Tenements of New York,"['Riis, Jacob A. (Jacob August), 1849-1914']",English,"['Poor -- New York (State) -- New York', 'Tenement houses -- New York (State) -- New York']",[],45502,https://www.gutenberg.org/ebooks/45502
肉蒲團,"['Li, Yu, 1611-1680?']",Chinese,"['Erotic literature, Chinese', 'Chinese fiction', 'Erotic fiction, Chinese']",[],52205,https://www.gutenberg.org/ebooks/52205
"Master tales of mystery, Volume 1 (of 3)",['Various'],English,[],[],77811,https://www.gutenberg.org/ebooks/77811
Tractatus Logico-Philosophicus,"['Wittgenstein, Ludwig, 1889-1951']",English,"['Logic, Symbolic and mathematical', 'Language and languages -- Philosophy']",[],5740,https://www.gutenberg.org/ebooks/5740
"Frankenstein; Or, The Modern Prometheus","['Shelley, Mary Wollstonecraft, 1797-1851']",English,"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",[],41445,https://www.gutenberg.org/ebooks/41445
"Ang ""Filibusterismo"" (Karugtóng ng Noli Me Tangere)","['Rizal, José, 1861-1896']",Tagalog,"['Nationalists -- Philippines -- Fiction', 'Philippines -- History -- Fiction', 'Philippine fiction (Spanish) -- Translations into Tagalog']",[],47629,https://www.gutenberg.org/ebooks/47629
Du côté de chez Swann,"['Proust, Marcel, 1871-1922']",French,"['Autobiographical fiction', 'Villages -- France -- Fiction', 'France -- Social life and customs -- 19th century -- Fiction']",[],2650,https://www.gutenberg.org/ebooks/2650
A Study in Scarlet,"['Doyle, Arthur Conan, 1859-1930']",English,"['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories', 'England -- Fiction']",[],244,https://www.gutenberg.org/ebooks/244
Anna Karenina,"['Tolstoy, Leo, graf, 1828-1910']",English,"['Adultery -- Fiction', 'Didactic fiction', 'Love stories', 'Married women -- Fiction', 'Russia -- Fiction']",[],1399,https://www.gutenberg.org/ebooks/1399
Candide,"['Voltaire, 1694-1778']",English,"['Satire', 'Optimism -- Fiction']",[],19942,https://www.gutenberg.org/ebooks/19942
The Reign of Greed,"['Rizal, José, 1861-1896']",English,"['Philippine fiction (Spanish) -- Translations into English', 'Nationalists -- Philippines -- Fiction', 'Philippines -- History -- Fiction']",[],10676,https://www.gutenberg.org/ebooks/10676
"The Letters of Franklin K. Lane, Personal and Political","['Lane, Franklin K., 1864-1921']",English,"['World War, 1914-1918 -- United States', 'United States -- Politics and government -- 1913-1921']",[],4206,https://www.gutenberg.org/ebooks/4206
The Art of War,"['Sunzi, active 6th century B.C.']",English,"['Military art and science -- Early works to 1800', 'War -- Early works to 1800']",[],132,https://www.gutenberg.org/ebooks/132
A Short Biographical Dictionary of English Literature,"['Cousin, John W. (John William), 1849-1910']",English,"['English literature -- Bio-bibliography', 'American literature -- Bio-bibliography']",[],13240,https://www.gutenberg.org/ebooks/13240
Heart of Darkness,"['Conrad, Joseph, 1857-1924']",English,"['Africa -- Fiction', 'Europeans -- Africa -- Fiction', 'Trading posts -- Fiction', 'Degeneration -- Fiction', 'Imperialism -- Fiction', 'Psychological fiction']",[],219,https://www.gutenberg.org/ebooks/219
The coast guardsman,"['Carlton, W. E.']",English,[],[],77810,https://www.gutenberg.org/ebooks/77810
"Cassell's History of England, Vol. 6 (of 8)From the Death of Sir Robert Peel to the Illness of the Prince of Wales",['Anonymous'],English,['Great Britain -- History'],[],61502,https://www.gutenberg.org/ebooks/61502
On Liberty,"['Mill, John Stuart, 1806-1873']",English,['Liberty'],[],34901,https://www.gutenberg.org/ebooks/34901
"Frankenstein; Or, The Modern Prometheus","['Shelley, Mary Wollstonecraft, 1797-1851']",English,"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]",[],42324,https://www.gutenberg.org/ebooks/42324
A Christmas Carol in Prose; Being a Ghost Story of Christmas,"['Dickens, Charles, 1812-1870']",English,"['Christmas stories', 'London (England) -- Fiction', 'Poor families -- Fiction', 'Ghost stories', 'Misers -- Fiction', 'Sick children -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction']",[],46,https://www.gutenberg.org/ebooks/46
